shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
9,47412,47.206344,-1.548209
9,47421,47.206344,-1.548209
9,47422,47.206344,-1.548209
9,47431,47.203797,-1.546420
9,47432,47.203797,-1.546420
9,47441,47.203797,-1.546420
9,47442,47.201576,-1.545025
9,47451,47.201576,-1.545025
9,47452,47.201576,-1.545025
9,47461,47.196110,-1.543068
9,47462,47.196110,-1.543068
9,47471,47.196110,-1.543068
9,47472,47.196110,-1.543068
9,47481,47.191780,-1.548658
9,47482,47.191780,-1.548658
9,47491,47.191780,-1.548658
9,47492,47.189276,-1.551683
9,47501,47.189276,-1.551683
9,47502,47.189276,-1.551683
9,47511,47.186050,-1.554021
9,47512,47.186050,-1.554021
9,47521,47.186050,-1.554021
9,47522,47.184812,-1.559761
9,47531,47.184812,-1.559761
9,47532,47.184812,-1.559761
9,47541,47.184433,-1.562818
9,47542,47.184433,-1.562818
9,47551,47.184433,-1.562818
9,47552,47.184433,-1.562818
9,47561,47.183228,-1.570279
9,47562,47.183228,-1.570279
9,47571,47.183228,-1.570279
9,47572,47.183228,-1.570279
9,47581,47.181336,-1.579687
9,47582,47.181336,-1.579687
9,47591,47.181336,-1.579687
9,47592,47.180692,-1.586688
9,47601,47.180692,-1.586688
9,47602,47.177249,-1.592962
