shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2711149,47.199266,-1.507298,18912
2711149,47.199266,-1.507298,18921
2711149,47.199071,-1.510395,18922
2711149,47.199071,-1.510395,18931
2711149,47.198769,-1.515545,18932
2711149,47.198769,-1.515545,18941
2711149,47.199660,-1.519868,18942
2711149,47.199660,-1.519868,18951
2711149,47.199162,-1.526462,18952
2711149,47.199162,-1.526462,18961
2711149,47.199459,-1.532968,18962
2711149,47.199459,-1.532968,18971
2711149,47.197167,-1.540584,18972
2711149,47.197167,-1.540584,18981
2711149,47.196098,-1.542686,18982
2810135,47.196358,-1.542550,19281
2810135,47.196881,-1.540533,19282
2810135,47.196881,-1.540533,19291
2810135,47.199328,-1.532873,19292
2810135,47.199328,-1.532873,19301
2810135,47.199055,-1.524925,19302
2810135,47.199055,-1.524925,19311
2810135,47.199533,-1.519877,19312
2810135,47.199533,-1.519877,19321
2810135,47.198696,-1.515467,19322
2810135,47.198696,-1.515467,19331
2810135,47.194970,-1.510005,19332
2810135,47.194970,-1.510005,19341
2810135,47.193952,-1.507590,19342
2810135,47.193952,-1.507590,19351
2810135,47.194910,-1.505189,19352
2810135,47.194910,-1.505189,19361
2810135,47.196002,-1.504132,19362
2810135,47.196002,-1.504132,19371
2810135,47.193830,-1.499288,19372
2810135,47.193830,-1.499288,19381
2810135,47.192222,-1.497554,19382
2810135,47.192222,-1.497554,19391
2810135,47.190217,-1.496415,19392
2810135,47.190217,-1.496415,19401
2810135,47.186983,-1.494325,19402
2810135,47.186983,-1.494325,19411
2810135,47.183960,-1.496684,19412
2810135,47.183960,-1.496684,19421
2810135,47.180163,-1.499422,19422
2810135,47.180163,-1.499422,19431
2810135,47.181136,-1.505716,19432
2810135,47.181136,-1.505716,19441
2810135,47.180711,-1.505692,19442
2810135,47.180711,-1.505692,19451
2810135,47.180031,-1.499317,19452
2810135,47.180031,-1.499317,19461
2810135,47.176375,-1.501562,19462
2810135,47.176375,-1.501562,19471
2810135,47.175280,-1.494898,19472
2810135,47.175280,-1.494898,19481
2810135,47.174510,-1.489425,19482
2810135,47.174510,-1.489425,19491
2810135,47.173077,-1.484896,19492
2810135,47.173077,-1.484896,19501
2810135,47.173030,-1.476284,19502
2810135,47.173030,-1.476284,19511
2810135,47.172696,-1.472360,19512
2810135,47.172696,-1.472360,19521
2810135,47.171017,-1.468827,19522
2810135,47.171017,-1.468827,19531
2810135,47.169040,-1.471173,19532
2811136,47.168850,-1.471132,19001
2811136,47.169394,-1.467829,19002
2811136,47.169394,-1.467829,19011
2811136,47.171664,-1.468820,19012
2811136,47.171664,-1.468820,19021
2811136,47.172838,-1.472482,19022
2811136,47.172838,-1.472482,19031
2811136,47.173084,-1.476535,19032
2811136,47.173084,-1.476535,19041
2811136,47.172940,-1.484078,19042
2811136,47.172940,-1.484078,19051
2811136,47.174876,-1.490529,19052
